Type_of_Renewable_Energy,Installed_Capacity_MW,Energy_Production_MWh,Energy_Consumption_MWh,Energy_Storage_Capacity_MWh,Storage_Efficiency_Percentage,Grid_Integration_Level,Initial_Investment_USD,Funding_Sources,Financial_Incentives_USD,GHG_Emission_Reduction_tCO2e,Air_Pollution_Reduction_Index,Jobs_Created
4,93.42,103853.22,248708.49,2953.25,89.89,4,473224763.90,1,9207772.19,6663.82,81.74,1366
4,590.47,190223.06,166104.16,5305.17,84.40,4,167069721.60,2,1685101.13,30656.05,78.14,1743
1,625.95,266023.48,424114.63,2620.19,60.50,2,84636100.09,2,5111812.90,1749.61,8.46,363
1,780.00,487039.53,308337.73,1925.25,86.90,3,396768982.20,2,4805902.37,43233.24,8.40,2821
3,242.11,482815.09,360437.77,3948.95,70.95,2,35744128.28,1,16686014.48,14858.66,28.82,2583
1,596.17,292384.46,415449.62,9767.23,50.90,3,449150517.70,2,11315378.70,16089.63,9.04,309
5,912.46,166865.91,268570.03,9177.04,54.35,1,485953840.00,1,8453916.11,9140.34,20.11,3483
1,782.93,277874.89,228390.84,8894.28,72.32,2,237006441.20,1,6831257.82,7054.75,45.17,4155
1,842.25,456305.58,364032.53,1463.24,73.45,2,107777969.10,1,15522816.74,40329.05,83.56,4617
2,778.67,401363.17,216170.71,1792.13,90.59,3,472545866.30,2,14086169.30,20564.87,66.21,727
1,331.45,251035.43,263867.80,9776.23,75.28,1,440466517.00,1,54235.27,23050.97,16.17,4327
5,923.37,325001.54,433532.12,5764.41,64.89,1,373905846.30,2,10531180.73,22991.21,35.48,1916
4,269.12,176638.64,412244.54,2648.03,50.58,1,117202214.90,1,3690420.57,10445.97,76.95,2935
4,713.39,213284.32,387135.19,5547.76,91.10,2,170269004.50,3,18042969.11,35928.71,59.17,2252
3,292.28,155465.24,16932.69,2457.24,65.56,2,313970944.00,3,16328048.97,11944.17,13.80,3440
6,90.87,206272.87,79092.99,384.33,66.13,3,204997524.90,1,1332253.11,45611.40,74.88,1552
4,889.15,13066.88,311190.48,4.09,80.33,2,9053773.94,2,465266.86,38668.77,16.85,4783
7,878.69,124626.88,427010.53,5098.34,71.13,1,156262222.90,3,10670647.40,30414.55,70.19,1406
5,468.16,10076.63,134075.94,9136.15,53.14,2,271498650.50,1,164183.93,3294.35,77.04,1116
1,973.74,138728.32,406471.88,9094.09,69.68,2,380319250.00,1,7173750.18,14257.56,60.24,4210
7,234.58,116290.16,384757.70,1055.47,53.86,1,191894116.70,1,17079653.00,6812.44,63.70,4251
5,697.68,220226.13,133636.89,2337.04,95.52,2,318918809.70,1,13217332.87,32872.55,31.08,3384
6,369.78,360589.49,59044.51,1589.19,83.51,2,263973164.70,3,1912490.15,47863.73,24.26,3750
6,121.13,150710.48,277797.87,3187.20,67.34,2,263801897.10,2,17540808.20,36810.38,30.24,223
2,737.38,213138.28,323636.77,8991.18,66.55,2,228919557.60,3,19130980.73,32390.45,77.13,756
4,725.23,445510.74,316116.74,2412.68,99.22,2,148878256.70,2,1991603.23,10811.14,93.74,2955
5,98.44,170966.68,444229.37,2541.81,59.77,1,454046260.70,2,12151045.84,5924.75,91.58,2218
7,511.91,209511.07,233208.30,2357.73,72.50,3,72272673.73,1,5947534.28,7196.53,93.90,2406
1,613.11,200285.94,441188.17,772.94,82.96,1,452767527.50,3,15795168.48,35884.88,2.62,3871
3,855.69,329785.30,268301.20,6950.85,98.55,1,104139436.70,1,19651202.93,5649.38,54.16,934
6,638.78,312630.81,236362.68,7518.44,58.10,2,124527969.90,2,9641548.21,27227.10,4.11,4793
5,850.07,97793.69,314622.54,6858.45,90.52,1,435807803.30,1,14742797.66,25511.01,96.27,3418
4,836.85,37263.95,328987.26,7096.90,65.78,2,431446289.30,1,19670967.03,23165.92,56.45,1473
1,341.78,439317.44,61360.62,9514.83,74.25,1,362664490.50,2,9440230.79,10220.61,94.87,3444
4,436.62,189791.12,267136.68,9830.39,56.27,3,318226069.10,3,7067421.79,48642.12,7.57,4710
4,20.59,273681.04,189224.66,6601.90,91.12,2,322933417.10,2,4082588.57,7412.87,44.83,1793
3,386.46,306434.60,323687.22,4017.62,68.62,2,467401045.70,3,8366588.34,3277.17,30.52,2450
2,826.53,329289.90,361126.02,5463.14,66.82,2,425088746.20,3,5372065.61,1187.06,89.76,3886
7,187.55,71414.47,373960.44,2142.06,64.88,4,465801558.60,3,3612095.95,5482.94,29.76,4694
7,277.12,11945.64,160011.47,9572.76,62.08,4,102158027.50,2,2936118.60,30730.55,23.50,1652
3,485.76,105064.61,248354.69,6083.95,58.12,1,81650064.92,3,2102350.67,4350.52,87.03,1151
5,529.06,112324.24,239191.97,6499.49,54.58,2,412263057.40,1,7091328.94,23717.67,57.55,4765
5,52.54,207661.49,260025.24,7735.90,61.56,3,108831107.40,1,17429287.20,45213.91,25.07,162
2,759.08,78570.62,377572.89,9601.60,69.45,4,219152527.60,3,19956029.77,26312.00,28.79,3965
5,551.55,220118.55,265329.26,7286.06,93.11,1,26787058.41,1,6133335.52,24894.68,65.51,1057
4,575.26,92121.20,91845.76,7569.92,74.61,2,178032740.00,2,17526052.27,48324.87,51.47,4222
6,349.12,103507.72,6686.59,5103.53,60.66,2,82874466.91,2,14091928.54,21295.28,99.86,806
1,245.09,273130.41,363935.13,2755.68,98.04,2,387023796.30,2,1451854.09,32456.83,55.71,3881
7,698.48,372472.32,139407.57,1938.15,68.50,3,72079304.43,1,2531168.96,27375.12,61.39,2644
4,288.05,350492.87,279704.07,3483.50,58.53,1,256608948.80,1,14060694.59,7715.21,95.59,1086
2,70.73,489002.78,385899.05,7465.76,67.95,1,30652154.56,2,18819307.44,35960.29,71.81,1584
5,173.37,230714.54,127797.69,2763.19,99.17,2,496711677.20,1,352595.34,13974.59,61.41,872
7,720.85,237411.13,431470.96,5494.20,92.38,2,490340359.30,2,7371391.41,2960.94,43.11,1517
4,496.10,451693.89,349150.05,4974.06,57.71,2,245064083.90,2,1329371.38,35815.63,41.11,278
3,284.98,42993.60,139412.06,3309.07,60.07,4,361290861.40,2,13705513.69,19152.24,1.66,1955
7,605.01,333320.20,353401.64,5238.74,96.59,2,409504866.20,3,8135214.02,12233.73,12.49,1918
